Task 00001 Time:3319ms
Task 00002 Time:672ms
Task 00003 Time:611ms
Task 00005 Time:3981ms
Task 00006 Time:45142ms
Task 00013 Time:56866ms nrAxioms: 2 sizeLargestInferencePremise: 1 nrRuleApplications: 2: true
Task 00001 Time:3734ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:764ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:788ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00004 Time:1885ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 19: true
Task 00001 Time:3362ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:697ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:676ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00005 Time:4436ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00006 Time:51078ms nrAxioms: 7 sizeLargestInferencePremise: 3 nrRuleApplications: 7: true
Task 00001 Time:4584ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:1187ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:977ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00001 Time:3991ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:875ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:805ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00001 Time:3238ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:1185ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:1126ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00005 Time:3928ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00001 Time:3406ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:731ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00001 Time:3504ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00001 Time:2895ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:695ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00001 Time:3508ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:618ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00003 Time:669ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00001 Time:2825ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:614ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00001 Time:2783ms nrAxioms: 13 sizeLargestInferencePremise: 2 nrRuleApplications: 13: true
Task 00002 Time:720ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00003 Time:462ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00005 Time:1255ms nrAxioms: 15 sizeLargestInferencePremise: 2 nrRuleApplications: 15: true
Task 00006 Time:933ms nrAxioms: 11 sizeLargestInferencePremise: 3 nrRuleApplications: 11: true
Task 00007 Time:552ms nrAxioms: 6 sizeLargestInferencePremise: 2 nrRuleApplications: 6: true
Task 00008 Time:741ms nrAxioms: 8 sizeLargestInferencePremise: 2 nrRuleApplications: 8: true
Task 00009 Time:800ms nrAxioms: 11 sizeLargestInferencePremise: 2 nrRuleApplications: 11: true
Task 00010 Time:820ms nrAxioms: 11 sizeLargestInferencePremise: 3 nrRuleApplications: 11: true
Task 00011 Time:2750ms nrAxioms: 8 sizeLargestInferencePremise: 2 nrRuleApplications: 8: true
Task 00012 Time:69ms nrAxioms: 2 sizeLargestInferencePremise: 1 nrRuleApplications: 2: true
Task 00013 Time:505ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00014 Time:1068ms nrAxioms: 13 sizeLargestInferencePremise: 3 nrRuleApplications: 13: true
Task 00015 Time:2039ms nrAxioms: 9 sizeLargestInferencePremise: 2 nrRuleApplications: 9: true
Task 00016 Time:1919ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 19: true
Task 00017 Time:2196ms nrAxioms: 27 sizeLargestInferencePremise: 2 nrRuleApplications: 27: true
Task 00018 Time:1081ms nrAxioms: 17 sizeLargestInferencePremise: 5 nrRuleApplications: 17: true
Task 00019 Time:1300ms nrAxioms: 15 sizeLargestInferencePremise: 3 nrRuleApplications: 15: true
Task 00020 Time:870ms nrAxioms: 10 sizeLargestInferencePremise: 2 nrRuleApplications: 10: true
Task 00021 Time:393ms nrAxioms: 8 sizeLargestInferencePremise: 2 nrRuleApplications: 8: true
Task 00022 Time:394ms nrAxioms: 9 sizeLargestInferencePremise: 2 nrRuleApplications: 9: true
Task 00023 Time:1121ms nrAxioms: 13 sizeLargestInferencePremise: 3 nrRuleApplications: 13: true
Task 00024 Time:947ms nrAxioms: 14 sizeLargestInferencePremise: 3 nrRuleApplications: 14: true
Task 00025 Time:76ms nrAxioms: 3 sizeLargestInferencePremise: 2 nrRuleApplications: 3: true
Task 00026 Time:2028ms nrAxioms: 21 sizeLargestInferencePremise: 3 nrRuleApplications: 21: true
Task 00027 Time:791ms nrAxioms: 11 sizeLargestInferencePremise: 2 nrRuleApplications: 11: true
Task 00028 Time:393ms nrAxioms: 5 sizeLargestInferencePremise: 2 nrRuleApplications: 5: true
Task 00029 Time:560ms nrAxioms: 9 sizeLargestInferencePremise: 3 nrRuleApplications: 9: true
Task 00030 Time:1209ms nrAxioms: 15 sizeLargestInferencePremise: 3 nrRuleApplications: 15: true
Task 00031 Time:1244ms nrAxioms: 14 sizeLargestInferencePremise: 2 nrRuleApplications: 14: true
Task 00032 Time:1610ms nrAxioms: 15 sizeLargestInferencePremise: 2 nrRuleApplications: 15: true
Task 00033 Time:534ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00010 Time:3512ms nrAxioms: 11 sizeLargestInferencePremise: 3 nrRuleApplications: 11: true
Task 00013 Time:4127ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00014 Time:3222ms nrAxioms: 13 sizeLargestInferencePremise: 3 nrRuleApplications: 13: true
Task 00015 Time:6746ms nrAxioms: 9 sizeLargestInferencePremise: 2 nrRuleApplications: 9: true
Task 00013 Time:5889ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00016 Time:4997ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 19: true
Task 00017 Time:3457ms nrAxioms: 27 sizeLargestInferencePremise: 2 nrRuleApplications: 27: true
Task 00018 Time:1363ms nrAxioms: 17 sizeLargestInferencePremise: 5 nrRuleApplications: 17: true
Task 00019 Time:1204ms nrAxioms: 15 sizeLargestInferencePremise: 3 nrRuleApplications: 15: true
Task 00020 Time:1054ms nrAxioms: 10 sizeLargestInferencePremise: 2 nrRuleApplications: 10: true
Task 00021 Time:588ms nrAxioms: 8 sizeLargestInferencePremise: 2 nrRuleApplications: 8: true
Task 00022 Time:386ms nrAxioms: 9 sizeLargestInferencePremise: 2 nrRuleApplications: 9: true
