Task 00001 Time:115ms
Task 00002 Time:20ms
Task 00003 Time:22ms
Task 00005 Time:11ms
Task 00006 Time:13ms
Task 00006 Time:61ms nrAxioms: 11 sizeLargestInferencePremise: 2 nrRuleApplications: 11: true
Task 00001 Time:31654ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00002 Time:8070ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00003 Time:64572ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00001 Time:6415ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00002 Time:73ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00003 Time:68ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00001 Time:131ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00002 Time:32ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00003 Time:33ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00005 Time:15ms nrAxioms: 11 sizeLargestInferencePremise: 2 nrRuleApplications: 11: true
Task 00001 Time:56172ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00002 Time:34200ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00001 Time:113ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00001 Time:29486ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00002 Time:78816ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00001 Time:24526ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00002 Time:87149ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00003 Time:11215ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00001 Time:39910ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00002 Time:33415ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00001 Time:95ms nrAxioms: 19 sizeLargestInferencePremise: 3 nrRuleApplications: 20: true
Task 00002 Time:7ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00003 Time:8ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00005 Time:5ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00006 Time:7ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00007 Time:3ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00008 Time:9ms nrAxioms: 15 sizeLargestInferencePremise: 3 nrRuleApplications: 18: true
Task 00009 Time:23ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00010 Time:5ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00011 Time:10ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00012 Time:3ms nrAxioms: 7 sizeLargestInferencePremise: 2 nrRuleApplications: 7: true
Task 00013 Time:43ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00014 Time:5ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00015 Time:17ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00016 Time:14ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00017 Time:244ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00018 Time:6ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00019 Time:5ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00020 Time:3ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00021 Time:5ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00022 Time:112ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
Task 00023 Time:4ms nrAxioms: 0 sizeLargestInferencePremise: 0 nrRuleApplications: 0: false
